Date,Council,Deaths_per_LA
2021-01-26,West Dunbartonshire,0
2021-01-26,West Lothian,1
2021-01-27,Aberdeen City,1
2021-01-27,Aberdeenshire,1
2021-01-27,Angus,1
2021-01-27,Argyll & Bute,0
2021-01-27,City of Edinburgh,3
2021-01-27,Clackmannanshire,1
2021-01-27,Dumfries & Galloway,1
2021-01-27,Dundee City,1
2021-01-27,East Ayrshire,2
2021-01-27,East Dunbartonshire,1
2021-01-27,East Lothian,0
2021-01-27,East Renfrewshire,1
2021-01-27,Falkirk,3
2021-01-27,Fife,2
2021-01-27,Glasgow City,5
2021-01-27,Highland,1
2021-01-27,Inverclyde,1
2021-01-27,Midlothian,1
2021-01-27,Moray,0
2021-01-27,Na h-Eileanan Siar,0
2021-01-27,North Ayrshire,2
2021-01-27,North Lanarkshire,4
2021-01-27,Orkney Islands,0
2021-01-27,Perth & Kinross,1
2021-01-27,Renfrewshire,4
2021-01-27,Scottish Borders,1
2021-01-27,Shetland Islands,0
2021-01-27,South Ayrshire,0
2021-01-27,South Lanarkshire,4
2021-01-27,Stirling,0
2021-01-27,West Dunbartonshire,0
2021-01-27,West Lothian,1
2021-01-28,Aberdeen City,1
2021-01-28,Aberdeenshire,1
2021-01-28,Angus,1
2021-01-28,Argyll & Bute,0
2021-01-28,City of Edinburgh,3
2021-01-28,Clackmannanshire,1
2021-01-28,Dumfries & Galloway,1
2021-01-28,Dundee City,1
2021-01-28,East Ayrshire,2
2021-01-28,East Dunbartonshire,1
2021-01-28,East Lothian,1
2021-01-28,East Renfrewshire,1
2021-01-28,Falkirk,3
2021-01-28,Fife,2
2021-01-28,Glasgow City,6
2021-01-28,Highland,1
2021-01-28,Inverclyde,1
2021-01-28,Midlothian,1
2021-01-28,Moray,0
2021-01-28,Na h-Eileanan Siar,0
2021-01-28,North Ayrshire,2
2021-01-28,North Lanarkshire,4
2021-01-28,Orkney Islands,0
2021-01-28,Perth & Kinross,1
2021-01-28,Renfrewshire,4
2021-01-28,Scottish Borders,1
2021-01-28,Shetland Islands,0
2021-01-28,South Ayrshire,0
2021-01-28,South Lanarkshire,4
2021-01-28,Stirling,1
2021-01-28,West Dunbartonshire,0
2021-01-28,West Lothian,0
2021-01-29,Aberdeen City,1
2021-01-29,Aberdeenshire,1
2021-01-29,Angus,1
2021-01-29,Argyll & Bute,1
2021-01-29,City of Edinburgh,2
2021-01-29,Clackmannanshire,1
2021-01-29,Dumfries & Galloway,0
2021-01-29,Dundee City,1
2021-01-29,East Ayrshire,2
2021-01-29,East Dunbartonshire,1
2021-01-29,East Lothian,1
2021-01-29,East Renfrewshire,1
2021-01-29,Falkirk,3
2021-01-29,Fife,2
2021-01-29,Glasgow City,5
2021-01-29,Highland,1
2021-01-29,Inverclyde,1
2021-01-29,Midlothian,1
2021-01-29,Moray,0
2021-01-29,Na h-Eileanan Siar,0
2021-01-29,North Ayrshire,2
2021-01-29,North Lanarkshire,4
2021-01-29,Orkney Islands,0
2021-01-29,Perth & Kinross,2
2021-01-29,Renfrewshire,4
2021-01-29,Scottish Borders,1
2021-01-29,Shetland Islands,0
2021-01-29,South Ayrshire,1
2021-01-29,South Lanarkshire,4
2021-01-29,Stirling,1
2021-01-29,West Dunbartonshire,1
2021-01-29,West Lothian,0
2021-01-30,Aberdeen City,1
2021-01-30,Aberdeenshire,0
2021-01-30,Angus,1
2021-01-30,Argyll & Bute,1
2021-01-30,City of Edinburgh,2
2021-01-30,Clackmannanshire,1
2021-01-30,Dumfries & Galloway,1
2021-01-30,Dundee City,1
2021-01-30,East Ayrshire,2
2021-01-30,East Dunbartonshire,1
2021-01-30,East Lothian,0
2021-01-30,East Renfrewshire,1
2021-01-30,Falkirk,3
2021-01-30,Fife,1
2021-01-30,Glasgow City,4
2021-01-30,Highland,1
2021-01-30,Inverclyde,1
2021-01-30,Midlothian,1
2021-01-30,Moray,0
2021-01-30,Na h-Eileanan Siar,0
2021-01-30,North Ayrshire,2
2021-01-30,North Lanarkshire,3
2021-01-30,Orkney Islands,0
2021-01-30,Perth & Kinross,1
2021-01-30,Renfrewshire,4
2021-01-30,Scottish Borders,1
2021-01-30,Shetland Islands,0
2021-01-30,South Ayrshire,1
2021-01-30,South Lanarkshire,4
2021-01-30,Stirling,1
2021-01-30,West Dunbartonshire,1
2021-01-30,West Lothian,0
2021-01-31,Aberdeen City,1
2021-01-31,Aberdeenshire,0
