_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
137,20200308,S08000016,NHS Borders,0,0,0,0,0,0,0,5,28,24.2403255129426,5,0,0,0,5,0,,:,,:,0,0
138,20200308,S08000017,NHS Dumfries & Galloway,0,0,0,0,0,0,0,6,85,57.1006314658068,7,0,0,0,7,0,,:,,:,0,0
139,20200308,S08000019,NHS Forth Valley,0,3,0.978345943125489,0.652230628750326,0,0,0,12,131,42.7211061831464,28,4,14.285714285714299,6.878306878306879,28,0,,:,,:,4,0
140,20200308,S08000020,NHS Grampian,1,7,1.19515110124637,1.02441522963975,0,0,0,6,73,12.4637186272836,14,4,28.571428571428598,13.684210526315798,14,0,,:,,:,4,0
141,20200308,S08000022,NHS Highland,0,0,0,0,0,0,0,7,57,17.7183711532484,7,0,0,0,7,0,,:,,:,0,0
142,20200308,S08000024,NHS Lothian,2,7,0.771281870468719,0.771281870468719,0,0,0,22,290,31.9531060622755,31,2,6.4516129032258105,3.9426523297491003,31,0,,:,,:,2,0
143,20200308,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,3,13.4710372698698,0,0,0,0,0,0,,:,,:,0,0
144,20200308,S08000026,NHS Shetland,0,2,8.7260034904014,8.7260034904014,0,0,0,1,5,21.8150087260035,1,0,0,25,1,0,,:,,:,0,0
145,20200308,S08000028,NHS Western Isles,0,0,0,0,0,0,0,1,4,14.9700598802395,1,0,0,0,1,0,,:,,:,0,0
146,20200308,S08000029,NHS Fife,0,2,0.535403560433677,0.535403560433677,0,0,0,2,66,17.6683174943113,7,0,0,5.33333333333333,7,0,,:,,:,0,0
147,20200308,S08000030,NHS Tayside,0,1,0.239538170407454,0,0,0,0,0,75,17.9653627805591,1,0,0,5.0314465408805,1,0,,:,,:,0,0
148,20200308,S08000031,NHS Greater Glasgow & Clyde,0,3,0.253566840219082,0.253566840219082,0,0,0,39,465,39.3028602339577,56,3,5.35714285714286,2.04841713221601,56,0,,:,,:,3,0
149,20200308,S08000032,NHS Lanarkshire,0,3,0.453240670796193,0.453240670796193,0,0,0,10,179,27.0433600241728,24,4,16.6666666666667,4.30622009569378,24,0,,:,,:,4,0
